====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 5000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 69440.E+01 AAA ;
  Layer # 1- Density = 6.305E22 atoms/cm3 = 19.25 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 574044.E+00 A   Straggling = 324555.E-01 A
 Ion Lateral Range = 501580.E-01 A   Straggling = 668193.E-01 A
 Ion Radial  Range = 787286.E-01 A   Straggling = 521451.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
6944010.E-03 20555113.E-02 24002117.E-02 32726217.E-02 14673510.E-02 
1388801.E-02 27073020.E-02 30819293.E-02 36414692.E-02 14794002.E-02 
2083201.E-02 19928452.E-02 24562195.E-02 32768366.E-02 16283289.E-02 
2777601.E-02 31986430.E-02 35329475.E-02 42363015.E-02 13859325.E-02 
3472001.E-02 26939840.E-02 30579524.E-02 35671196.E-02 13181242.E-02 
4166401.E-02 21495576.E-02 24597257.E-02 33497587.E-02 10968438.E-02 
4860801.E-02 18699823.E-02 21809399.E-02 33482185.E-02 14204931.E-02 
5555201.E-02 19742955.E-02 24343589.E-02 32744712.E-02 15428337.E-02 
6249601.E-02 25127069.E-02 28370196.E-02 34459951.E-02 13498907.E-02 
6944001.E-02 23533789.E-02 29161761.E-02 38242185.E-02 14118592.E-02 
7638401.E-02 21763907.E-02 26808180.E-02 39337715.E-02 12628960.E-02 
8332801.E-02 27578226.E-02 31632922.E-02 39664940.E-02 14290099.E-02 
9027201.E-02 20929884.E-02 25323597.E-02 37771690.E-02 13165507.E-02 
9721601.E-02 23363438.E-02 27332399.E-02 34774505.E-02 15012455.E-02 
1041600.E-01 23471793.E-02 27648192.E-02 36252848.E-02 12651698.E-02 
1111040.E-01 21529078.E-02 25901750.E-02 38330488.E-02 11550495.E-02 
1180480.E-01 22996449.E-02 27023221.E-02 36388200.E-02 11809379.E-02 
1249920.E-01 21483433.E-02 25575528.E-02 36357200.E-02 14250443.E-02 
1319360.E-01 21022158.E-02 25284153.E-02 34191672.E-02 14435924.E-02 
1388800.E-01 23899880.E-02 27438817.E-02 38293343.E-02 10521313.E-02 
1458240.E-01 20959000.E-02 24311469.E-02 35589695.E-02 11991260.E-02 
1527680.E-01 23477584.E-02 27287008.E-02 38311952.E-02 12173348.E-02 
1597120.E-01 20207431.E-02 24011834.E-02 36407508.E-02 11850382.E-02 
