====== pysrim run =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 5000  keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     7.E+05 A   Layer # 1- Density = 6.305E22 atoms/cm3 = 19.25 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Ion Average Range =   574.0E+03 A   Straggling =   324.6E+02 A
 Ion Lateral Range =   501.6E+02 A   Straggling =   668.2E+02 A
 Ion Radial  Range =   787.3E+02 A   Straggling =   521.5E+02 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =419
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -005.9856  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 065.0259  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
694401.E-02  2.1601E-01  0.0000E+00
138880.E-01  3.0242E-01  0.0000E+00
208320.E-01  2.4482E-01  0.0000E+00
277760.E-01  2.8802E-01  0.0000E+00
347200.E-01  2.4482E-01  0.0000E+00
416640.E-01  3.6002E-01  0.0000E+00
486080.E-01  2.8802E-01  0.0000E+00
555520.E-01  2.7362E-01  0.0000E+00
624960.E-01  3.1682E-01  0.0000E+00
694400.E-01  4.0323E-01  0.0000E+00
763840.E-01  4.1763E-01  0.0000E+00
833280.E-01  4.7523E-01  0.0000E+00
902720.E-01  3.6002E-01  0.0000E+00
972160.E-01  4.8963E-01  0.0000E+00
104160.E+00  3.4562E-01  0.0000E+00
111104.E+00  5.0403E-01  0.0000E+00
118048.E+00  4.4643E-01  0.0000E+00
124992.E+00  5.7604E-01  0.0000E+00
131936.E+00  6.7684E-01  0.0000E+00
138880.E+00  4.8963E-01  0.0000E+00
145824.E+00  6.9124E-01  0.0000E+00
152768.E+00  7.2005E-01  0.0000E+00
159712.E+00  7.0565E-01  0.0000E+00
166656.E+00  6.6244E-01  0.0000E+00
173600.E+00  9.5046E-01  0.0000E+00
180544.E+00  6.9124E-01  0.0000E+00
187488.E+00  7.2005E-01  0.0000E+00
194432.E+00  9.2166E-01  0.0000E+00
201376.E+00  1.0081E+00  0.0000E+00
