====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 5000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     7.E+05 A ;
  Layer # 1- Density = 6.305E22 atoms/cm3 = 19.25 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Total Target Vacancies     = 10 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
694401.E-02  8630.47E-10  1500.86E-09  
138880.E-01  2345.77E-09  4199.72E-09  
208320.E-01  2075.03E-09  4124.46E-09  
277760.E-01  2492.51E-09  4318.55E-09  
347200.E-01  2512.53E-09  4668.94E-09  
416640.E-01  2568.98E-09  4525.22E-09  
486080.E-01  2592.45E-09  4973.49E-09  
555520.E-01  2605.27E-09  4936.77E-09  
624960.E-01  2611.90E-09  4907.10E-09  
694400.E-01  2624.57E-09  5149.90E-09  
763840.E-01  2666.19E-09  4842.43E-09  
833280.E-01  2662.01E-09  4862.10E-09  
902720.E-01  2707.66E-09  4571.82E-09  
972160.E-01  2744.82E-09  5089.69E-09  
104160.E+00  2780.82E-09  5170.24E-09  
111104.E+00  2764.83E-09  4845.00E-09  
118048.E+00  2846.05E-09  4995.11E-09  
124992.E+00  2816.68E-09  5379.30E-09  
131936.E+00  2903.51E-09  5535.30E-09  
138880.E+00  2905.67E-09  5279.46E-09  
145824.E+00  2943.12E-09  5322.75E-09  
152768.E+00  2954.64E-09  5414.56E-09  
159712.E+00  3007.49E-09  5463.50E-09  
166656.E+00  3049.97E-09  5348.37E-09  
173600.E+00  3066.39E-09  5518.86E-09  
180544.E+00  3088.85E-09  5586.82E-09  
187488.E+00  3130.62E-09  5248.90E-09  
194432.E+00  3187.50E-09  5468.60E-09  
201376.E+00  3229.26E-09  5961.59E-09  
208320.E+00  3273.47E-09  5943.98E-09  
215264.E+00  3280.24E-09  5716.70E-09  
222208.E+00  3308.47E-09  5704.52E-09  
229152.E+00  3399.34E-09  6131.17E-09  
236096.E+00  3423.68E-09  5827.24E-09  
243040.E+00  3517.86E-09  5902.56E-09  
249984.E+00  3565.38E-09  5849.57E-09  
256928.E+00  3608.01E-09  5939.76E-09  
263872.E+00  3661.43E-09  6060.78E-09  
270816.E+00  3744.53E-09  6247.40E-09  
277760.E+00  3800.84E-09  6627.06E-09  
284704.E+00  3799.40E-09  6861.96E-09  
291648.E+00  3905.24E-09  6843.09E-09  
298592.E+00  3986.61E-09  6717.60E-09  
305536.E+00  4063.36E-09  6696.67E-09  
312480.E+00  4080.36E-09  6879.79E-09  
319424.E+00  4150.20E-09  6892.65E-09  
326368.E+00  4250.14E-09  7112.29E-09  
333312.E+00  4328.63E-09  7482.35E-09  
340256.E+00  4423.53E-09  7284.99E-09  
347200.E+00  4539.46E-09  7413.49E-09  
354144.E+00  4638.39E-09  7415.62E-09  
361088.E+00  4747.98E-09  7751.15E-09  
368032.E+00  4821.14E-09  7828.50E-09  
374976.E+00  4954.35E-09  7873.45E-09  
381920.E+00  5059.33E-09  8393.31E-09  
388864.E+00  5235.89E-09  8189.05E-09  
395808.E+00  5379.32E-09  8439.61E-09  
402752.E+00  5461.55E-09  8549.46E-09  
409696.E+00  5682.75E-09  8925.71E-09  
416640.E+00  5890.70E-09  9081.50E-09  
423584.E+00  6048.10E-09  9464.33E-09  
430528.E+00  6228.25E-09  9287.70E-09  
437472.E+00  6484.74E-09  9833.03E-09  
444416.E+00  6752.59E-09  1030.74E-08  
451360.E+00  6994.53E-09  1033.57E-08  
458304.E+00  7262.82E-09  1086.32E-08  
465248.E+00  7630.62E-09  1113.80E-08  
472192.E+00  7994.10E-09  1167.26E-08  
479136.E+00  8399.19E-09  1210.82E-08  
486080.E+00  8853.54E-09  1246.31E-08  
493024.E+00  9505.33E-09  1313.21E-08  
499968.E+00  1011.07E-08  1350.07E-08  
506912.E+00  1092.07E-08  1440.82E-08  
513856.E+00  1180.18E-08  1520.56E-08  
520800.E+00  1302.16E-08  1624.66E-08  
527744.E+00  1438.72E-08  1769.88E-08  
534688.E+00  1636.65E-08  1815.35E-08  
541632.E+00  1890.28E-08  2018.77E-08  
548576.E+00  2260.97E-08  2233.26E-08  
555520.E+00  2766.17E-08  2438.77E-08  
