====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 5000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 14053.E+02 AAA ;
  Layer # 1- Density = 4.294E22 atoms/cm3 = 6.506 g/cm3
  Layer # 1- Zr = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 122009.E+01 A   Straggling = 452749.E-01 A
 Ion Lateral Range = 690041.E-01 A   Straggling = 948333.E-01 A
 Ion Radial  Range = 108387.E+00 A   Straggling = 789194.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1405301.E-02 38922524.E-02 47971209.E-02 55952202.E-02 29283276.E-02 
2810601.E-02 37719347.E-02 48071078.E-02 58724609.E-02 27282994.E-02 
4215901.E-02 57048194.E-02 62811369.E-02 81417248.E-02 31685099.E-02 
5621201.E-02 58971321.E-02 66504065.E-02 75872631.E-02 27183630.E-02 
7026501.E-02 39342631.E-02 48580306.E-02 78128488.E-02 11018266.E-02 
8431801.E-02 59908164.E-02 62445481.E-02 74991598.E-02 24541705.E-02 
9837101.E-02 54838949.E-02 62479584.E-02 73886868.E-02 20172407.E-02 
1124240.E-01 37367252.E-02 46945025.E-02 80989102.E-02 20254123.E-02 
1264770.E-01 44861799.E-02 56708748.E-02 69595115.E-02 33588691.E-02 
1405300.E-01 45970923.E-02 55429760.E-02 66208654.E-02 33936924.E-02 
1545830.E-01 63687582.E-02 66138628.E-02 81490291.E-02 26294539.E-02 
1686360.E-01 44507535.E-02 53864965.E-02 58024840.E-02 31717516.E-02 
1826890.E-01 45999807.E-02 53245168.E-02 77574872.E-02 31881271.E-02 
1967420.E-01 50460782.E-02 61985644.E-02 59798830.E-02 30288769.E-02 
2107950.E-01 57360310.E-02 63694097.E-02 79932898.E-02 22075315.E-02 
2248480.E-01 65613889.E-02 73466717.E-02 92559085.E-02 17974836.E-02 
2389010.E-01 39062620.E-02 46497978.E-02 70318091.E-02 18552877.E-02 
2529540.E-01 40284808.E-02 45587633.E-02 72819636.E-02 21826231.E-02 
2670070.E-01 51299996.E-02 61651581.E-02 70169092.E-02 33527375.E-02 
2810600.E-01 46421989.E-02 57196807.E-02 87167851.E-02 25861829.E-02 
2951130.E-01 44690188.E-02 49799007.E-02 74957748.E-02 21787609.E-02 
3091660.E-01 50466352.E-02 60143398.E-02 62143729.E-02 30954294.E-02 
3232190.E-01 61150440.E-02 68683112.E-02 86300927.E-02 22835881.E-02 
