====== Fe (78.7) into Layer 1                   =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Fe   Energy = 78.7 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 80000.E-02 AAA ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =100000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
801000.E-05  1964.21E-01  1966.19E-01
160100.E-04  2030.62E-01  2032.91E-01
240100.E-04  2042.80E-01  2045.42E-01
320100.E-04  2113.10E-01  2115.97E-01
400100.E-04  2175.48E-01  2178.30E-01
480100.E-04  2166.10E-01  2169.16E-01
560100.E-04  2176.27E-01  2179.27E-01
640100.E-04  2199.17E-01  2202.46E-01
720100.E-04  2208.90E-01  2212.09E-01
800100.E-04  2232.02E-01  2235.45E-01
880100.E-04  2240.32E-01  2243.73E-01
960100.E-04  2240.89E-01  2244.47E-01
104010.E-03  2244.28E-01  2247.85E-01
112010.E-03  2212.39E-01  2216.05E-01
120010.E-03  2239.75E-01  2243.44E-01
128010.E-03  2260.94E-01  2264.74E-01
136010.E-03  2211.42E-01  2215.23E-01
144010.E-03  2183.29E-01  2187.18E-01
152010.E-03  2164.98E-01  2168.84E-01
160010.E-03  2100.34E-01  2104.22E-01
168010.E-03  2104.54E-01  2108.40E-01
176010.E-03  2065.88E-01  2069.74E-01
184010.E-03  1991.94E-01  1995.74E-01
192010.E-03  1947.29E-01  1951.07E-01
200010.E-03  1898.51E-01  1902.22E-01
208010.E-03  1862.99E-01  1866.70E-01
216010.E-03  1817.00E-01  1820.64E-01
224010.E-03  1731.97E-01  1735.54E-01
232010.E-03  1674.57E-01  1678.03E-01
240010.E-03  1607.01E-01  1610.44E-01
248010.E-03  1538.26E-01  1541.61E-01
256010.E-03  1518.45E-01  1521.74E-01
264010.E-03  1434.90E-01  1438.09E-01
272010.E-03  1388.78E-01  1391.85E-01
280010.E-03  1309.32E-01  1312.31E-01
288010.E-03  1266.59E-01  1269.47E-01
296010.E-03  1215.44E-01  1218.23E-01
304010.E-03  1113.78E-01  1116.46E-01
312010.E-03  1053.84E-01  1056.39E-01
320010.E-03  1009.63E-01  1012.07E-01
328010.E-03  9507.07E-02  9530.46E-02
336010.E-03  9167.53E-02  9189.93E-02
344010.E-03  8405.68E-02  8426.93E-02
352010.E-03  7827.27E-02  7847.30E-02
360010.E-03  7423.12E-02  7441.84E-02
368010.E-03  6889.75E-02  6907.60E-02
376010.E-03  6503.43E-02  6520.23E-02
384010.E-03  5975.25E-02  5991.04E-02
392010.E-03  5473.15E-02  5487.99E-02
400010.E-03  5106.01E-02  5119.92E-02
408010.E-03  4634.60E-02  4647.55E-02
416010.E-03  4410.73E-02  4422.98E-02
424010.E-03  4041.65E-02  4053.07E-02
432010.E-03  3593.40E-02  3603.92E-02
440010.E-03  3308.46E-02  3318.19E-02
448010.E-03  3051.41E-02  3060.47E-02
456010.E-03  2765.77E-02  2773.99E-02
464010.E-03  2505.33E-02  2512.90E-02
472010.E-03  2272.28E-02  2279.24E-02
480010.E-03  2121.65E-02  2128.14E-02
488010.E-03  1889.87E-02  1895.77E-02
496010.E-03  1732.72E-02  1737.99E-02
504010.E-03  1556.38E-02  1561.17E-02
512010.E-03  1319.01E-02  1323.36E-02
520010.E-03  1191.65E-02  1195.74E-02
528010.E-03  1087.97E-02  1091.52E-02
536010.E-03  9872.97E-03  9904.91E-03
544010.E-03  8550.94E-03  8579.62E-03
552010.E-03  7706.24E-03  7732.60E-03
560010.E-03  7349.43E-03  7373.36E-03
568010.E-03  6052.20E-03  6073.41E-03
576010.E-03  5411.35E-03  5430.14E-03
584010.E-03  4564.32E-03  4580.87E-03
592010.E-03  4266.75E-03  4281.61E-03
600010.E-03  3502.35E-03  3515.28E-03
608010.E-03  3028.84E-03  3039.86E-03
616010.E-03  2725.14E-03  2734.97E-03
624010.E-03  2446.34E-03  2455.06E-03
632010.E-03  2291.45E-03  2299.62E-03
640010.E-03  1715.73E-03  1722.36E-03
648010.E-03  1268.22E-03  1273.83E-03
656010.E-03  1530.26E-03  1535.58E-03
664010.E-03  1158.52E-03  1163.14E-03
672010.E-03  1124.18E-03  1128.11E-03
680010.E-03  8421.21E-04  8453.69E-04
688010.E-03  6830.51E-04  6858.64E-04
696010.E-03  6045.26E-04  6070.05E-04
704010.E-03  5690.24E-04  5709.40E-04
712010.E-03  4590.22E-04  4606.76E-04
720010.E-03  3767.95E-04  3783.74E-04
728010.E-03  2627.59E-04  2640.57E-04
736010.E-03  2803.72E-04  2814.29E-04
744010.E-03  2187.06E-04  2196.55E-04
752010.E-03  1875.90E-04  1883.36E-04
760010.E-03  1407.97E-04  1415.02E-04
768010.E-03  1061.63E-04  1068.08E-04
776010.E-03  1560.07E-04  1566.41E-04
784010.E-03  1471.48E-04  1476.43E-04
792010.E-03  6885.50E-05  6918.88E-05
800010.E-03  6684.23E-05  6715.73E-05
