====== Fe (78.7) into Layer 1                   =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Fe   Energy = 78.7 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     8.E+02 AAA ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =100000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
801000.E-05  156433.E-05  112366.E-03
160100.E-04  146130.E-05  129872.E-03
240100.E-04  150791.E-05  143684.E-03
320100.E-04  155966.E-05  156401.E-03
400100.E-04  162233.E-05  150848.E-03
480100.E-04  168215.E-05  160533.E-03
560100.E-04  173177.E-05  151187.E-03
640100.E-04  179163.E-05  166362.E-03
720100.E-04  182131.E-05  156762.E-03
800100.E-04  188050.E-05  166877.E-03
880100.E-04  192450.E-05  161150.E-03
960100.E-04  197822.E-05  167392.E-03
104010.E-03  201192.E-05  161964.E-03
112010.E-03  204511.E-05  165786.E-03
120010.E-03  208397.E-05  162730.E-03
128010.E-03  211397.E-05  168010.E-03
136010.E-03  213382.E-05  163249.E-03
144010.E-03  215787.E-05  163068.E-03
152010.E-03  216663.E-05  161404.E-03
160010.E-03  215939.E-05  155484.E-03
168010.E-03  216902.E-05  156831.E-03
176010.E-03  215452.E-05  154109.E-03
184010.E-03  214283.E-05  148921.E-03
192010.E-03  210532.E-05  147132.E-03
200010.E-03  208914.E-05  141234.E-03
208010.E-03  206862.E-05  140406.E-03
216010.E-03  203515.E-05  136247.E-03
224010.E-03  199622.E-05  130515.E-03
232010.E-03  195577.E-05  127020.E-03
240010.E-03  193489.E-05  121698.E-03
248010.E-03  190340.E-05  116351.E-03
256010.E-03  186298.E-05  114929.E-03
264010.E-03  179925.E-05  109824.E-03
272010.E-03  171950.E-05  104614.E-03
280010.E-03  169037.E-05  998558.E-04
288010.E-03  163675.E-05  963887.E-04
296010.E-03  158966.E-05  925248.E-04
304010.E-03  151845.E-05  856799.E-04
312010.E-03  144925.E-05  808197.E-04
320010.E-03  140033.E-05  776029.E-04
328010.E-03  134646.E-05  725292.E-04
336010.E-03  128558.E-05  706214.E-04
344010.E-03  121015.E-05  644249.E-04
352010.E-03  113943.E-05  606564.E-04
360010.E-03  107419.E-05  568677.E-04
368010.E-03  101819.E-05  531783.E-04
376010.E-03  957162.E-06  503088.E-04
384010.E-03  905338.E-06  460056.E-04
392010.E-03  852527.E-06  427388.E-04
400010.E-03  809927.E-06  398826.E-04
408010.E-03  756074.E-06  359877.E-04
416010.E-03  705098.E-06  342314.E-04
424010.E-03  661940.E-06  313857.E-04
432010.E-03  608133.E-06  279584.E-04
440010.E-03  562999.E-06  258338.E-04
448010.E-03  523439.E-06  240080.E-04
456010.E-03  487951.E-06  215928.E-04
464010.E-03  447343.E-06  197541.E-04
472010.E-03  406001.E-06  178729.E-04
480010.E-03  377660.E-06  165623.E-04
488010.E-03  344110.E-06  148224.E-04
496010.E-03  311269.E-06  137597.E-04
504010.E-03  281526.E-06  121400.E-04
512010.E-03  258900.E-06  105086.E-04
520010.E-03  238856.E-06  956715.E-05
528010.E-03  212808.E-06  855054.E-05
536010.E-03  192687.E-06  770978.E-05
544010.E-03  171181.E-06  685082.E-05
552010.E-03  155364.E-06  601318.E-05
560010.E-03  143570.E-06  587514.E-05
568010.E-03  124928.E-06  478096.E-05
576010.E-03  109149.E-06  430848.E-05
584010.E-03  100118.E-06  375068.E-05
592010.E-03  922718.E-07  338823.E-05
600010.E-03  757280.E-07  278579.E-05
608010.E-03  676183.E-07  242884.E-05
616010.E-03  599208.E-07  217903.E-05
624010.E-03  545369.E-07  194631.E-05
632010.E-03  486558.E-07  185444.E-05
640010.E-03  413588.E-07  139960.E-05
648010.E-03  350653.E-07  102504.E-05
656010.E-03  328206.E-07  118761.E-05
664010.E-03  265513.E-07  955805.E-06
672010.E-03  232752.E-07  886677.E-06
680010.E-03  206648.E-07  680053.E-06
688010.E-03  185009.E-07  564895.E-06
696010.E-03  146753.E-07  487361.E-06
704010.E-03  118331.E-07  446831.E-06
712010.E-03  104390.E-07  385294.E-06
720010.E-03  815797.E-08  286951.E-06
728010.E-03  863506.E-08  229562.E-06
736010.E-03  652331.E-08  223680.E-06
744010.E-03  525830.E-08  188689.E-06
752010.E-03  402763.E-08  141362.E-06
760010.E-03  425830.E-08  117656.E-06
768010.E-03  362997.E-08  860226.E-07
776010.E-03  400348.E-08  124126.E-06
784010.E-03  341095.E-08  119974.E-06
792010.E-03  175918.E-08  626017.E-07
800010.E-03  136659.E-08  554528.E-07
