====== Fe (78.7) into Layer 1                   =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    = Fe   Energy = 78.7  keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     8.E+02 A   Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =100000.00
 Ion Average Range =   276.8E+00 A   Straggling =   133.1E+00 A
 Ion Lateral Range =   890.1E-01 A   Straggling =   115.6E+00 A
 Ion Radial  Range =   139.9E+00 A   Straggling =   842.2E-01 A
====================================================================
 Transmitted Ions =29;  Backscattered Ions =390
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = 000.4173  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 002.8750  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH         Fe       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
801000.E-05  1.7125E+04  0.0000E+00
160100.E-04  2.7375E+04  0.0000E+00
240100.E-04  4.2375E+04  0.0000E+00
320100.E-04  5.5250E+04  0.0000E+00
400100.E-04  6.0125E+04  0.0000E+00
480100.E-04  7.7250E+04  0.0000E+00
560100.E-04  8.2750E+04  0.0000E+00
640100.E-04  9.7500E+04  0.0000E+00
720100.E-04  1.0600E+05  0.0000E+00
800100.E-04  1.1688E+05  0.0000E+00
880100.E-04  1.3475E+05  0.0000E+00
960100.E-04  1.4850E+05  0.0000E+00
104010.E-03  1.6000E+05  0.0000E+00
112010.E-03  1.7163E+05  0.0000E+00
120010.E-03  1.7838E+05  0.0000E+00
128010.E-03  1.9775E+05  0.0000E+00
136010.E-03  2.0875E+05  0.0000E+00
144010.E-03  2.1375E+05  0.0000E+00
152010.E-03  2.3700E+05  0.0000E+00
160010.E-03  2.3788E+05  0.0000E+00
168010.E-03  2.4188E+05  0.0000E+00
176010.E-03  2.4588E+05  0.0000E+00
184010.E-03  2.6500E+05  0.0000E+00
192010.E-03  2.6300E+05  0.0000E+00
200010.E-03  2.7150E+05  0.0000E+00
208010.E-03  2.7013E+05  0.0000E+00
216010.E-03  2.7763E+05  0.0000E+00
224010.E-03  2.7625E+05  0.0000E+00
232010.E-03  2.7400E+05  0.0000E+00
240010.E-03  2.9325E+05  0.0000E+00
