====== Fe (78.7) into Layer 1                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Fe   Energy = 78.7 keV
============= TARGET MATERIAL ======================================
Layer 1 : Layer 1
Layer Width = 80000.E-02 A ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =100000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
801000.E-05  3064.64E-02  4243.14E-02
160100.E-04  3064.18E-02  4892.79E-02
240100.E-04  3062.14E-02  5388.39E-02
320100.E-04  3056.00E-02  5837.26E-02
400100.E-04  3049.40E-02  5603.33E-02
480100.E-04  3024.43E-02  5910.05E-02
560100.E-04  3014.54E-02  5495.97E-02
640100.E-04  2999.06E-02  6056.95E-02
720100.E-04  2980.66E-02  5639.22E-02
800100.E-04  2946.49E-02  5967.64E-02
880100.E-04  2912.95E-02  5735.92E-02
960100.E-04  2872.34E-02  5955.58E-02
104010.E-03  2838.63E-02  5680.20E-02
112010.E-03  2798.00E-02  5800.98E-02
120010.E-03  2751.87E-02  5652.82E-02
128010.E-03  2708.12E-02  5856.37E-02
136010.E-03  2649.26E-02  5636.70E-02
144010.E-03  2585.53E-02  5550.81E-02
152010.E-03  2516.97E-02  5499.66E-02
160010.E-03  2445.46E-02  5247.90E-02
168010.E-03  2378.45E-02  5295.45E-02
176010.E-03  2303.09E-02  5178.77E-02
184010.E-03  2237.24E-02  4977.83E-02
192010.E-03  2152.69E-02  4886.49E-02
200010.E-03  2083.30E-02  4653.39E-02
208010.E-03  1999.88E-02  4613.64E-02
216010.E-03  1929.93E-02  4480.79E-02
224010.E-03  1838.73E-02  4252.05E-02
232010.E-03  1759.68E-02  4129.60E-02
240010.E-03  1680.24E-02  3927.28E-02
248010.E-03  1603.01E-02  3728.29E-02
256010.E-03  1532.68E-02  3686.57E-02
264010.E-03  1459.71E-02  3501.74E-02
272010.E-03  1378.32E-02  3320.13E-02
280010.E-03  1303.29E-02  3147.76E-02
288010.E-03  1235.00E-02  3039.35E-02
296010.E-03  1168.61E-02  2916.08E-02
304010.E-03  1086.66E-02  2665.48E-02
312010.E-03  1020.26E-02  2509.11E-02
320010.E-03  9578.20E-03  2407.29E-02
328010.E-03  9031.72E-03  2235.09E-02
336010.E-03  8386.98E-03  2183.55E-02
344010.E-03  7794.25E-03  1971.22E-02
352010.E-03  7193.76E-03  1853.72E-02
360010.E-03  6714.68E-03  1737.85E-02
368010.E-03  6196.01E-03  1615.59E-02
376010.E-03  5752.27E-03  1527.22E-02
384010.E-03  5322.94E-03  1387.97E-02
392010.E-03  4862.72E-03  1284.41E-02
400010.E-03  4504.02E-03  1198.97E-02
408010.E-03  4097.97E-03  1070.24E-02
416010.E-03  3757.04E-03  1016.24E-02
424010.E-03  3466.46E-03  9287.78E-03
432010.E-03  3161.94E-03  8194.21E-03
440010.E-03  2864.15E-03  7570.70E-03
448010.E-03  2585.44E-03  6998.65E-03
456010.E-03  2336.46E-03  6308.75E-03
464010.E-03  2103.91E-03  5769.68E-03
472010.E-03  1883.92E-03  5182.44E-03
480010.E-03  1710.83E-03  4745.06E-03
488010.E-03  1521.61E-03  4262.76E-03
496010.E-03  1383.78E-03  3996.83E-03
504010.E-03  1232.22E-03  3515.07E-03
512010.E-03  1097.37E-03  2967.21E-03
520010.E-03  9853.68E-04  2694.15E-03
528010.E-03  8797.10E-04  2408.69E-03
536010.E-03  7705.76E-04  2175.59E-03
544010.E-03  6769.08E-04  1924.11E-03
552010.E-03  6096.70E-04  1689.58E-03
560010.E-03  5398.62E-04  1669.35E-03
568010.E-03  4697.70E-04  1317.40E-03
576010.E-03  3994.79E-04  1197.84E-03
584010.E-03  3568.19E-04  1036.09E-03
592010.E-03  3170.74E-04  9393.73E-04
600010.E-03  2764.89E-04  7621.15E-04
608010.E-03  2351.17E-04  6668.27E-04
616010.E-03  2081.66E-04  5982.22E-04
624010.E-03  1856.08E-04  5383.71E-04
632010.E-03  1564.81E-04  5171.97E-04
640010.E-03  1291.49E-04  3814.94E-04
648010.E-03  1113.13E-04  2641.18E-04
656010.E-03  1036.70E-04  3194.99E-04
664010.E-03  8191.82E-05  2653.65E-04
672010.E-03  7291.16E-05  2473.60E-04
680010.E-03  5785.82E-05  1853.38E-04
688010.E-03  4856.43E-05  1501.48E-04
696010.E-03  4306.50E-05  1270.90E-04
704010.E-03  3628.35E-05  1264.06E-04
712010.E-03  3211.35E-05  1051.59E-04
720010.E-03  2617.91E-05  7439.58E-05
728010.E-03  2137.75E-05  5913.08E-05
736010.E-03  1751.05E-05  6056.79E-05
744010.E-03  1480.85E-05  5020.32E-05
752010.E-03  1325.26E-05  3522.82E-05
760010.E-03  1186.77E-05  2940.53E-05
768010.E-03  1076.33E-05  1996.30E-05
776010.E-03  9493.57E-06  3196.08E-05
784010.E-03  6345.78E-06  3384.13E-05
792010.E-03  5486.63E-06  1571.36E-05
800010.E-03  4047.68E-06  1378.50E-05
