====== Fe (78.7) into Layer 1                   =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Fe   Energy = 78.7 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     8.E+02 A ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =100000.00
 Total Target Vacancies     = 529 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
801000.E-05  6611.00E-05  1086.54E-03  
160100.E-04  7638.50E-05  1257.35E-03  
240100.E-04  8717.00E-05  1388.64E-03  
320100.E-04  9581.50E-05  1510.48E-03  
400100.E-04  9385.13E-05  1455.37E-03  
480100.E-04  1019.03E-04  1546.79E-03  
560100.E-04  9982.50E-05  1452.61E-03  
640100.E-04  1099.46E-04  1598.31E-03  
720100.E-04  1064.00E-04  1503.18E-03  
800100.E-04  1144.04E-04  1598.79E-03  
880100.E-04  1134.06E-04  1540.90E-03  
960100.E-04  1193.24E-04  1599.22E-03  
104010.E-03  1188.95E-04  1543.45E-03  
112010.E-03  1221.61E-04  1579.31E-03  
120010.E-03  1230.09E-04  1546.90E-03  
128010.E-03  1266.81E-04  1597.77E-03  
136010.E-03  1270.46E-04  1548.30E-03  
144010.E-03  1297.25E-04  1543.59E-03  
152010.E-03  1287.96E-04  1527.24E-03  
160010.E-03  1290.75E-04  1466.07E-03  
168010.E-03  1283.84E-04  1480.34E-03  
176010.E-03  1285.49E-04  1452.29E-03  
184010.E-03  1268.99E-04  1400.55E-03  
192010.E-03  1261.16E-04  1383.16E-03  
200010.E-03  1236.63E-04  1324.80E-03  
208010.E-03  1237.11E-04  1316.35E-03  
216010.E-03  1211.94E-04  1276.03E-03  
224010.E-03  1189.11E-04  1219.40E-03  
232010.E-03  1154.63E-04  1186.89E-03  
240010.E-03  1143.83E-04  1133.04E-03  
248010.E-03  1116.80E-04  1080.91E-03  
256010.E-03  1094.99E-04  1068.75E-03  
264010.E-03  1061.61E-04  1019.28E-03  
272010.E-03  1022.21E-04  9701.01E-04  
280010.E-03  9966.75E-05  9237.58E-04  
288010.E-03  9620.88E-05  8915.37E-04  
296010.E-03  9321.25E-05  8548.61E-04  
304010.E-03  8964.13E-05  7883.15E-04  
312010.E-03  8506.63E-05  7430.04E-04  
320010.E-03  8150.75E-05  7135.06E-04  
328010.E-03  7795.13E-05  6649.47E-04  
336010.E-03  7469.38E-05  6486.58E-04  
344010.E-03  7086.13E-05  5890.13E-04  
352010.E-03  6678.00E-05  5544.21E-04  
360010.E-03  6237.63E-05  5199.38E-04  
368010.E-03  5948.25E-05  4851.08E-04  
376010.E-03  5600.13E-05  4591.93E-04  
384010.E-03  5262.38E-05  4183.57E-04  
392010.E-03  4944.00E-05  3881.54E-04  
400010.E-03  4639.63E-05  3618.02E-04  
408010.E-03  4318.25E-05  3250.82E-04  
416010.E-03  4082.50E-05  3096.16E-04  
424010.E-03  3807.38E-05  2830.75E-04  
432010.E-03  3503.88E-05  2509.45E-04  
440010.E-03  3243.50E-05  2319.07E-04  
448010.E-03  3018.38E-05  2154.55E-04  
456010.E-03  2738.00E-05  1934.68E-04  
464010.E-03  2523.00E-05  1767.64E-04  
472010.E-03  2318.50E-05  1595.83E-04  
480010.E-03  2161.63E-05  1477.92E-04  
488010.E-03  1967.25E-05  1319.49E-04  
496010.E-03  1754.75E-05  1231.57E-04  
504010.E-03  1595.75E-05  1081.67E-04  
512010.E-03  1451.63E-05  9287.17E-05  
520010.E-03  1364.50E-05  8418.41E-05  
528010.E-03  1185.88E-05  7552.58E-05  
536010.E-03  1064.88E-05  6809.69E-05  
544010.E-03  9560.00E-06  6042.44E-05  
552010.E-03  8785.00E-06  5266.19E-05  
560010.E-03  7976.25E-06  5206.13E-05  
568010.E-03  7068.75E-06  4177.16E-05  
576010.E-03  6265.00E-06  3777.72E-05  
584010.E-03  5515.00E-06  3278.00E-05  
592010.E-03  4953.75E-06  2960.48E-05  
600010.E-03  4311.25E-06  2414.89E-05  
608010.E-03  3672.50E-06  2111.33E-05  
616010.E-03  3275.00E-06  1896.71E-05  
624010.E-03  2908.75E-06  1693.83E-05  
632010.E-03  2725.00E-06  1622.66E-05  
640010.E-03  2208.75E-06  1207.52E-05  
648010.E-03  1868.75E-06  8561.20E-06  
656010.E-03  1772.50E-06  1034.53E-05  
664010.E-03  1538.75E-06  8231.07E-06  
672010.E-03  1311.25E-06  7734.30E-06  
680010.E-03  1082.50E-06  5847.35E-06  
688010.E-03  9375.00E-07  4806.76E-06  
696010.E-03  8262.50E-07  4149.95E-06  
704010.E-03  6387.50E-07  3920.23E-06  
712010.E-03  5512.50E-07  3368.39E-06  
720010.E-03  5262.50E-07  2411.96E-06  
728010.E-03  4325.00E-07  1904.54E-06  
736010.E-03  3525.00E-07  1931.66E-06  
744010.E-03  3162.50E-07  1616.56E-06  
752010.E-03  2487.50E-07  1196.42E-06  
760010.E-03  2350.00E-07  9630.36E-07  
768010.E-03  2150.00E-07  6631.03E-07  
776010.E-03  2112.50E-07  1051.61E-06  
784010.E-03  1650.00E-07  1058.25E-06  
792010.E-03  1112.50E-07  5212.23E-07  
800010.E-03  1050.00E-07  4611.26E-07  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
