 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 01, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Iron.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  7.8658E+00 g/cm3 = 8.4817E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    1.071E-01  3.716E-02       1 A         3 A         2 A   
    1.2 eV    1.071E-01  3.906E-02       1 A         3 A         2 A   
    1.3 eV    1.114E-01  4.087E-02       1 A         3 A         2 A   
    1.4 eV    1.157E-01  4.262E-02       1 A         3 A         2 A   
    1.5 eV    1.197E-01  4.430E-02       1 A         3 A         2 A   
    1.6 eV    1.236E-01  4.593E-02       1 A         3 A         2 A   
    1.7 eV    1.274E-01  4.751E-02       1 A         3 A         2 A   
    1.8 eV    1.311E-01  4.903E-02       1 A         3 A         2 A   
      2 eV    1.382E-01  5.196E-02       1 A         4 A         3 A   
   2.25 eV    1.466E-01  5.540E-02       1 A         4 A         3 A   
2.49999 eV    1.546E-01  5.864E-02       1 A         4 A         3 A   
2.74999 eV    1.621E-01  6.170E-02       2 A         4 A         3 A   
2.99999 eV    1.693E-01  6.462E-02       2 A         4 A         3 A   
3.24999 eV    1.762E-01  6.739E-02       2 A         5 A         3 A   
3.49999 eV    1.829E-01  7.005E-02       2 A         5 A         3 A   
3.74999 eV    1.893E-01  7.260E-02       2 A         5 A         3 A   
3.99999 eV    1.955E-01  7.506E-02       2 A         5 A         4 A   
4.49999 eV    2.074E-01  7.970E-02       2 A         5 A         4 A   
4.99999 eV    2.186E-01  8.405E-02       2 A         6 A         4 A   
5.49999 eV    2.292E-01  8.813E-02       2 A         6 A         4 A   
