 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 29, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Iron in Iron.txt

 Ion = Iron [26] , Mass = 55.935 amu

 Target Density =  7.8658E+00 g/cm3 = 8.4817E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    1.196E-01  1.333E+00       1 A         1 A           A   
    1.2 eV    1.196E-01  1.416E+00       1 A         1 A           A   
    1.3 eV    1.244E-01  1.496E+00       1 A         1 A           A   
    1.4 eV    1.291E-01  1.574E+00       1 A         1 A           A   
    1.5 eV    1.337E-01  1.651E+00       1 A         1 A           A   
    1.6 eV    1.381E-01  1.726E+00       1 A         1 A           A   
    1.7 eV    1.423E-01  1.799E+00       1 A         1 A           A   
    1.8 eV    1.464E-01  1.870E+00       1 A         1 A           A   
      2 eV    1.544E-01  2.010E+00       1 A         1 A         1 A   
   2.25 eV    1.637E-01  2.177E+00       1 A         1 A         1 A   
2.49999 eV    1.726E-01  2.338E+00       1 A         1 A         1 A   
2.74999 eV    1.810E-01  2.493E+00       1 A         1 A         1 A   
2.99999 eV    1.891E-01  2.643E+00       1 A         1 A         1 A   
3.24999 eV    1.968E-01  2.788E+00       1 A         1 A         1 A   
3.49999 eV    2.042E-01  2.930E+00       1 A         1 A         1 A   
3.74999 eV    2.114E-01  3.068E+00       1 A         1 A         1 A   
3.99999 eV    2.183E-01  3.203E+00       1 A         1 A         1 A   
4.49999 eV    2.315E-01  3.463E+00       1 A         1 A         1 A   
4.99999 eV    2.441E-01  3.712E+00       1 A         1 A         1 A   
5.49999 eV    2.560E-01  3.952E+00       2 A         1 A         1 A   
